tam_entrada, resultado, tempo_usuario, tempo_sistema
405, 34, 0.0143290, 0.0000000
406, 34, 0.0135550, 0.0000000
407, 34, 0.0148000, 0.0000000
408, 34, 0.0155110, 0.0000000
409, 34, 0.0144830, 0.0000000
410, 34, 0.0144990, 0.0000000
411, 34, 0.0191000, 0.0000000
412, 34, 0.0168150, 0.0000000
413, 34, 0.0164250, 0.0000000
414, 34, 0.0151600, 0.0000000
415, 34, 0.0173300, 0.0000000
416, 34, 0.0152900, 0.0000000
417, 34, 0.0155170, 0.0000000
418, 34, 0.0148640, 0.0000000
419, 35, 0.0170230, 0.0000000
420, 35, 0.0157490, 0.0000000
421, 35, 0.0157990, 0.0000000
422, 35, 0.0153790, 0.0000000
423, 35, 0.0164330, 0.0000000
424, 35, 0.0170850, 0.0000000
425, 35, 0.0154390, 0.0000000
426, 35, 0.0156080, 0.0000000
427, 35, 0.0154680, 0.0000000
428, 35, 0.0153680, 0.0000000
429, 35, 0.0153730, 0.0000000
430, 35, 0.0202740, 0.0000000
431, 35, 0.0153080, 0.0000000
432, 35, 0.0156480, 0.0000000
433, 35, 0.0210510, 0.0000000
434, 35, 0.0162580, 0.0000000
435, 35, 0.0159260, 0.0000000
436, 35, 0.0194940, 0.0000000
437, 35, 0.0160370, 0.0000000
438, 35, 0.0164980, 0.0000000
439, 35, 0.0185280, 0.0000000
440, 35, 0.0167710, 0.0000000
441, 35, 0.0176810, 0.0000000
442, 35, 0.0171800, 0.0000000
443, 35, 0.0178320, 0.0000000
444, 35, 0.0180540, 0.0000000
445, 35, 0.0181020, 0.0000000
446, 35, 0.0173490, 0.0000000
447, 35, 0.0210770, 0.0000000
448, 35, 0.0191780, 0.0000000
449, 35, 0.0178300, 0.0000000
450, 35, 0.0183570, 0.0000000
451, 35, 0.0175850, 0.0000000
452, 35, 0.0198020, 0.0000000
453, 35, 0.0192220, 0.0000000
454, 35, 0.0193780, 0.0000000
455, 35, 0.0187210, 0.0000000
456, 35, 0.0189890, 0.0000000
457, 35, 0.0202770, 0.0000000
458, 35, 0.0218980, 0.0000000
459, 35, 0.0208960, 0.0000000
460, 35, 0.0202550, 0.0000000
461, 35, 0.0182720, 0.0000000
462, 35, 0.0183560, 0.0000000
463, 35, 0.0185920, 0.0000000
464, 35, 0.0184220, 0.0000000
465, 35, 0.0185570, 0.0000000
466, 35, 0.0196040, 0.0000000
467, 35, 0.0191850, 0.0000000
468, 35, 0.0203890, 0.0000000
469, 35, 0.0209600, 0.0000000
470, 35, 0.0188680, 0.0000000
471, 35, 0.0196060, 0.0000000
472, 35, 0.0195790, 0.0000000
473, 35, 0.0192970, 0.0000000
474, 35, 0.0208400, 0.0000000
475, 35, 0.0198070, 0.0000000
476, 35, 0.0214600, 0.0000000
477, 35, 0.0196770, 0.0000000
478, 35, 0.0197670, 0.0000000
479, 35, 0.0250990, 0.0000000
480, 35, 0.0202700, 0.0000000
481, 35, 0.0198790, 0.0000000
482, 35, 0.0198890, 0.0000000
483, 35, 0.0224570, 0.0000000
484, 35, 0.0208230, 0.0000000
485, 35, 0.0205420, 0.0000000
486, 35, 0.0205750, 0.0000000
487, 35, 0.0204140, 0.0000000
488, 35, 0.0250430, 0.0000000
489, 36, 0.0247630, 0.0000000
490, 36, 0.0224840, 0.0000000
491, 36, 0.0205450, 0.0000000
492, 36, 0.0236080, 0.0000000
493, 36, 0.0264160, 0.0000000
494, 36, 0.0212940, 0.0000000
